english,japanese,pronunciation
"data analysis","データ解析、データ分析","でーた かいせき、でーた ぶんせき"
"exploratory data analysis","探索的データ解析","たんさく てき でーた かいせき"
"machine learning","機械学習","きかい がくしゅう"
"machine learning model","機械学習モデル","きかい がくしゅう もでる"
"statistics","統計学","とうけい がく"
"descriptive statistics","記述統計学","きじゅつ とうけい がく"
"inferential statistics","推計統計学","すいけい とうけい がく"
"attribute","属性","ぞくせい"
"characteristic","特性 (特色、特徴)","とくせい (とくしょく、とくちょう)"
"feature","特徴 (特色、特質)","とくちょう (とくしょく、とくしつ)"
"variable","変数","へんすう"
"continuous variable","連続変数","れんぞく へんすう"
"discrete variable","離散変数","りさん へんすう"
"nominal scale","名義尺度","めいぎ しゃくど"
"ordinal scale","順序尺度","じゅんじょ しゃくど"
"interval scale","間隔尺度","かんかく しゃくど"
"ratio scale","比例尺度、比率尺度","ひれい しゃくど、ひりつ しゃくど"
"quantitative data","量的データ","りょうてき でーた"
"qualitative data","質的データ","しつてき でーた"
"average","代表値、平均","だいひょう ち、へいきん"
"mean","平均値","へいきん ち"
"expectation","期待値、期待","きたい ち、きたい"
"expected vale","期待値","きたい ち"
"mode","最頻値","さいひん ち"
"median","中央値","ちゅうおう ち"
"dispersion","散布度","さんぷ ど"
"range","範囲","はんい"
"quartiles","四分位数","し ぶんい すう"
"quartile range","四分位範囲","し ぶんい はんい"
"percentile","パーセンタイル","ぱーせんたいる"
"quantile","分位数","ぶんい すう"
"variance","分散","ぶんさん"
"standard deviation","標準偏差","ひょうじゅん へんさ"
"coefficient of variation","変動係数","へんどう けいすう"
"five-number summary","五数要約","ごすう ようやく"
"outlier","外れ値","はずれ ち"
"skew","歪み","ひず み"
"skewness","歪度","わいど"
"kurtosis","尖度","せんど"
"transformation of variable","変数変換","へんすう へんかん"
"frequency table","度数分布表","どすう ぶんぶ ひょう"
"contingency table","分割表","ぶんかつ ひょう"
"crosstab","クロス集計表","くろす しゅうけい ひょう"
"histogram","ヒストグラム","ひすとぐらむ"
"box and whisker plot","箱ひげ図","はこ ひげ ず"
"scatterplot","散布図","さんぷ ず"
"coefficient of correlation","相関係数","そうかん けいすう"
